Time,PositionX,PositionY,PositionZ,Speed,Heading
15.12.2024 21:42:07,-23,64674,538,2316,168,8638,10,16527,106,9233
15.12.2024 21:42:07,-24,02734,538,118,168,7713,10,24689,106,6878
15.12.2024 21:42:07,-24,33902,538,0264,168,6955,10,19179,106,4981
15.12.2024 21:42:07,-24,64701,537,9368,168,6203,10,15033,106,3139
15.12.2024 21:42:07,-24,94873,537,8503,168,547,10,2156,106,1335
15.12.2024 21:42:07,-25,24105,537,7676,168,4762,10,16969,105,9514
15.12.2024 21:42:07,-25,53905,537,6848,168,4042,10,13334,105,7546
15.12.2024 21:42:07,-25,84759,537,6003,168,3297,10,20095,105,5373
15.12.2024 21:42:07,-26,16895,537,514,168,2527,10,15471,105,2953
15.12.2024 21:42:07,-26,47176,537,4341,168,1799,10,21884,105,0563
15.12.2024 21:42:07,-26,77724,537,3557,168,1066,10,17177,104,8011
15.12.2024 21:42:07,-27,0694,537,2825,168,0363,10,13579,104,5384
15.12.2024 21:42:07,-27,3716,537,2089,167,9641,10,2012,104,2489
15.12.2024 21:42:07,-27,68252,537,1351,167,8901,10,15613,103,9331
15.12.2024 21:42:07,-27,99994,537,0615,167,8134,10,22417,103,6104
15.12.2024 21:42:07,-28,30138,536,9936,167,7398,10,20376,103,3138
15.12.2024 21:42:07,-28,64489,536,9192,167,6547,10,18489,102,9853
15.12.2024 21:42:07,-28,94677,536,8564,167,5803,10,16114,102,6881
15.12.2024 21:42:07,-29,26069,536,7936,167,5043,10,23079,102,3461
15.12.2024 21:42:07,-29,58548,536,7305,167,4246,10,19796,101,9751
15.12.2024 21:42:07,-29,89937,536,671,167,3466,10,1707,101,6275
15.12.2024 21:42:07,-30,21773,536,6125,167,2689,10,13689,101,2679
15.12.2024 21:42:07,-30,56303,536,5511,167,1861,10,21719,100,8643
15.12.2024 21:42:08,-30,89003,536,4945,167,1081,10,18927,100,4793
15.12.2024 21:42:08,-31,20346,536,4418,167,0329,10,17773,100,107
15.12.2024 21:42:08,-31,53975,536,3871,166,9497,10,15431,99,71415
15.12.2024 21:42:08,-31,86219,536,3368,166,8691,10,22429,99,34062
15.12.2024 21:42:08,-32,20383,536,2859,166,7862,10,17969,98,97035
15.12.2024 21:42:08,-32,547,536,2365,166,7018,10,1516,98,63199
15.12.2024 21:42:08,-32,85247,536,1933,166,6259,10,22133,98,33321
15.12.2024 21:42:08,-33,16109,536,1513,166,5499,10,28799,98,04852
15.12.2024 21:42:08,-33,46533,536,1115,166,4757,10,2314,97,7757
